Rank,Score,Stat,Season,lgID
4,0.047164675,HR/PA,2017,NL
5,0.032352122,R/PA,2017,NL
6,0.028819383,SB,2017,NL
7,0.025092864,Pos_3B,2017,NL
8,0.019349556,RBI/PA,2017,NL
9,0.018108039,Playoffs,2017,NL
0,0.227494914,WAR_bat,2018,NL
1,0.125487214,SLG,2018,NL
2,0.109001184,SB,2018,NL
3,0.10508729,PA,2018,NL
4,0.083994256,RBI/PA,2018,NL
5,0.073115435,R/PA,2018,NL
6,0.051721758,wOBA,2018,NL
7,0.046326081,AVG,2018,NL
8,0.034364463,OBP,2018,NL
9,0.023114093,Pos_2B,2018,NL
0,0.17175404836177885,G_pit,1984,AL
1,0.1549188821001802,SV,1984,AL
2,0.12473260271188236,SLG,1984,AL
3,0.12180742539424222,OBP,1984,AL
4,0.07173428813843237,AVG,1984,AL
5,0.06640707665664349,K/9,1984,AL
6,0.04510230273581161,FP,1984,AL
7,0.03662125775647666,R/PA,1984,AL
8,0.032641042031623255,RBI/PA,1984,AL
9,0.028591990305823937,SB,1984,AL
0,0.33924819652606203,OBP,1985,AL
1,0.21554178467238413,SLG,1985,AL
2,0.20964620345264018,AVG,1985,AL
3,0.05548106459422835,RBI/PA,1985,AL
4,0.05195834865210264,FP,1985,AL
5,0.03701674696936362,R/PA,1985,AL
6,0.014931482823057226,HR/PA,1985,AL
7,0.011550091902146264,PA,1985,AL
8,0.010178953133755438,Pos_3B,1985,AL
9,0.009573568348085764,Playoffs,1985,AL
0,0.19924800675194468,R/PA,1986,AL
1,0.11905044614123672,SLG,1986,AL
2,0.1040695056662668,AVG,1986,AL
3,0.10369596856340996,FP,1986,AL
4,0.09582212000707602,K/9,1986,AL
5,0.09118731194384976,W_pit,1986,AL
6,0.07862246427734713,OBP,1986,AL
7,0.04735788741921145,PA,1986,AL
8,0.040947775384220085,SB,1986,AL
9,0.024345088434314755,Pos_LF,1986,AL
0,0.2952851467010316,R/PA,1987,AL
1,0.20676021547604195,AVG,1987,AL
2,0.1312553764624268,SLG,1987,AL
3,0.1203830597079293,RBI/PA,1987,AL
4,0.0408727343889208,Pos_SS,1987,AL
5,0.03848121816930453,PA,1987,AL
6,0.038409681332892014,OBP,1987,AL
7,0.027573644137003334,FP,1987,AL
8,0.02160671505880956,Pos_LF,1987,AL
9,0.02063332749471878,Pos_CF,1987,AL
0,0.31494535065517926,RBI/PA,1988,AL
1,0.2771142277382455,AVG,1988,AL
2,0.10738618386185982,OBP,1988,AL
3,0.09538393046800153,SLG,1988,AL
4,0.08600183004398723,SV,1988,AL
5,0.023390018073701512,HR/PA,1988,AL
6,0.0212833673180504,PA,1988,AL
7,0.014607710234616282,Pos_RF,1988,AL
8,0.011886897461191556,R/PA,1988,AL
9,0.011279595111535975,SB,1988,AL
0,0.2880792765653139,SLG,1989,AL
1,0.13157177008303425,PA,1989,AL
