Rank,Score,Stat,Season,lgID
4,0.05961868242067994,FP,1991,AL
5,0.05519874454422524,OBP,1991,AL
6,0.047380748934297924,HR/PA,1991,AL
7,0.040171814660058536,R/PA,1991,AL
8,0.03337750538761335,SB,1991,AL
9,0.029843698267858126,AVG,1991,AL
0,0.19666562870311646,SLG,1992,AL
1,0.17534730608996912,RBI/PA,1992,AL
2,0.09762117369697279,PA,1992,AL
3,0.07802288384616367,K/9,1992,AL
4,0.06292026557959467,R/PA,1992,AL
5,0.06070333402645161,HR/PA,1992,AL
6,0.0569853467274581,SV,1992,AL
7,0.04904572880034599,G_pit,1992,AL
8,0.041687364622612424,AVG,1992,AL
9,0.03866312573759694,OPS,1992,AL
0,0.19082690570839275,RBI/PA,1993,AL
1,0.1836492280322385,SLG,1993,AL
2,0.15226643138122062,PA,1993,AL
3,0.10306952590752974,SV,1993,AL
4,0.07963592084838444,OPS,1993,AL
5,0.05920562399684574,HR/PA,1993,AL
6,0.05820999202342875,AVG,1993,AL
7,0.05658054781154094,R/PA,1993,AL
8,0.028233584958865188,SB,1993,AL
9,0.025056496685736417,Playoffs,1993,AL
0,0.3979196562865519,SLG,1994,AL
1,0.08888725978300775,OPS,1994,AL
2,0.08621676654248014,PA,1994,AL
3,0.0832860785871526,SV,1994,AL
4,0.07104040756725331,AVG,1994,AL
5,0.046485394052741734,Playoffs,1994,AL
6,0.044180102131023115,RBI/PA,1994,AL
7,0.04354352206728767,R/PA,1994,AL
8,0.03606417928264392,HR/PA,1994,AL
9,0.024298591626955295,FP,1994,AL
0,0.3963971782171804,SLG,1995,AL
1,0.08967999442749118,AVG,1995,AL
2,0.08597440353689834,OPS,1995,AL
3,0.07343818107166239,R/PA,1995,AL
4,0.07067722574649783,PA,1995,AL
5,0.06784394992407543,RBI/PA,1995,AL
6,0.06698707513494953,HR/PA,1995,AL
7,0.03696673446602181,SB,1995,AL
8,0.03257984331944858,Playoffs,1995,AL
9,0.028203258597331384,FP,1995,AL
0,0.3954482705881115,SLG,1996,AL
1,0.1129766872460297,AVG,1996,AL
2,0.07815090616239573,RBI/PA,1996,AL
3,0.07613314914616393,SB,1996,AL
4,0.06990959239889279,OPS,1996,AL
5,0.06661262102194886,R/PA,1996,AL
6,0.059317001962625064,HR/PA,1996,AL
7,0.03659840390476254,FP,1996,AL
8,0.02822790657448983,OBP,1996,AL
9,0.02362668375237426,PA,1996,AL
0,0.2874523587204427,RBI/PA,1997,AL
1,0.2545763420356014,SLG,1997,AL
2,0.12595807170505802,SB,1997,AL
3,0.04895773636867428,AVG,1997,AL
4,0.03966966306922367,PA,1997,AL
5,0.03687905932048179,FP,1997,AL
6,0.03313765082430698,Playoffs,1997,AL
7,0.03239418643877513,HR/PA,1997,AL
